,NAMA_PERUSAHAAN,NIB,NPWP,ALAMAT,NO_TELP,EMAIL,NO_AKTA,NO_SK,JENIS_PERUSAHAAN,STATUS_NIB
967,PT KSATRIA INDONESIA EMAS,1908240034293.0,56029648085000.0,"RUKO KALIDERES INDAH 3, JL. PETA BARAT NO.3A BLOK B, KALIDERES, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081212123488,ksatriaindonesiaemas1@gmail.com,137.0,,,
735,PT KUARSA BABEL MAJU,304230055717.0,401311360025000.0,"JL. BATU CEPER NO.61, GAMBIR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213505621,Kuarsababelmaju5@gmail.com,4.0,,Perseroan Terbatas (PT),
739,PT KUARSA BELITUNG MAJU,304230063885.0,401313010025000.0,"JL. BATU CEPER NO.61, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213505621,kuarsabelitungmaju703@gmail.com,3.0,,Perseroan Terbatas (PT),
743,PT KUARSA BELITUNG SUKSES,404230030538.0,401262506025000.0,"JL. BATU CEPER NO.61, GAMBIR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213505621,belitungkuarsa148@gmail.com,2.0,,Perseroan Terbatas (PT),
199,PT KURNIA MANDIRI ADIPERKASA,8120019141724.0,20948311086000.0,"JL. PURI KENCANA, BLOK K-6 NO.3-O 010/07 KEMBANGAN KOTA ADM. JAKARTA BARAT DKI JAKARTA",02158351606,,,,Perseroan Terbatas (PT),Aktif
226,PT KWARSA PRIMA JAYA,501230061983.0,623319530416000.0,JALAN DAAN MOGOT KM 21 PERGUDANGAN 3 MULTI GUNA BLOK D NOMOR 1-2 000/000 BATUCEPER KOTA TANGERANG BANTEN,0818713888,,,,Perseroan Terbatas (PT),Aktif
417,PT LAUTAN CAHAYA SILICA,2401220083133.0,538504739304000.0,"JL ALEXANDER RUKO F-18 PERUM. CITRALAND BOTANICAL CITY, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",082181553669,lautancahayasilica@gmail.com,29.0,,,
623,PT LAUTAN SINERGI PASIRINDO,1307230031805.0,394047138305000.0,"JL. K.A. DJINAL DUSUN SUGE, SIMPANG PESAK, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",081297989808,lautansinergipasirindo@gmail.com,20.0,,Perseroan Terbatas (PT),
555,PT LOTUS ESGE SEJAHTERA,2004220037197.0,748600152047000.0,"JALAN JENDRAL SUDIRMAN NOMOR 26, TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",02131182866,lotusesgesejahtera@gmail.com,157.0,,Perseroan Terbatas (PT),
482,PT LUDAI GEDE BILITONITE,220209181564.0,716039706036000.0,"THE SUITES TOWER LANTAI 12 UNIT 1205, JALAN BOULEVARD PANTAI INDAH KAPUK KAV.OFS NOMOR 1, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02153664355,ludaigedebilitonite.info@gmail.com,4.0,,,
799,PT MAKIN MAJU MAKMUR,1309220084186.0,32231110047000.0,"JL.PANTAI INDAH UTARA 2, RUKO CENTRO METRO BROADWAY BLOK B NO 47, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02130010243,makinmajumakmur.pt@gmail.com,351.0,,Perseroan Terbatas (PT),
60,CV MANDIRI SEJAHTERA ABADI,220106131575.0,728813031602000.0,JALAN MOJOKRAPAK NOMOR 146 /  KAB. JOMBANG JAWA TIMUR,081332044502,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
112,MANDIRI SEJAHTERA ABADI,1306220063055.0,706336724702000.0,"DUSUN SELOBAT RT/RW: 003/001, DESA BUDUK SEMPADANG, KECAMATAN SELAKAU TIMUR, KABUPATEN SAMBAS 003/001 SELAKAU TIMUR KAB. SAMBAS KALIMANTAN BARAT",082353113463,,,,Koperasi,Aktif
142,CV MANDIRI SEJAHTERA ABADI,9120000521467.0,900382102009000.0,JL. TANAH MERDEKA 008/005 CIRACAS KOTA ADM. JAKARTA TIMUR DKI JAKARTA,085885441399,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
203,CV MANDIRI SEJAHTERA ABADI,2212220046139.0,764374872305000.0,JALAN AYER TAYU NOMOR B 127 004/002 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,081222566655,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
220,CV MANDIRI SEJAHTERA ABADI,1247000301634.0,27462860402000.0,JL. KAVLING PERKEBUNAN III NO. 3 005/013 CIBODAS KOTA TANGERANG BANTEN,081388359358,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
1183,PT MANTRA DAHANA INVESTA,1207000373606.0,418964359013000.0,"JALAN BARU NOMOR 3, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0227095210,pt.mantradahanainvesta@gmail.com,21.0,,,
969,PT MARSHINDO BUMI MINERAL,9120305501363.0,914922521043000.0,"JL. RAYA GADING INDAH M4C NO. 12, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",085216860468,marshindo.officepjk@gmail.com,137.0,,,
246,PT MASBRO ALAM STANIA,8120201971192.0,805892528304000.0,"JALAN TPA LINGKUNGAN KENANGA PERMAI, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",08117879979,info.masbroalamstania@gmail.com,6.0,,Perseroan Terbatas (PT),
971,PT MEDIA MULIA INVESTAMA,3101230076764.0,24333940011000.0,"WISMA TAMARA, RUANG 901, JALAN JENDERAL SUDIRMAN, KAVLING 24, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",021-2525667,mediamuliainvestama@gmail.com,92.0,,,
429,PT MEGA ALAM MAKMUR,9120103820633.0,923635858305000.0,"JALAN KELAPA GADING NOMOR 8, BELINYU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081929717175,megaalammakmur@gmail.com,14.0,,Perseroan Terbatas (PT),
978,PT MERDEKA BERSAMA JAYA,409240099402.0,123749244085000.0,"RUKO KALIDERES INDAH 3, JL. PETA BARAT NO.3A BLOK B RT 001 / RW 007, KALIDERES, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081213579855,merdekabersamajaya@gmail.com,394.0,,,
782,PT METRIX ABADI RESOURCE,2401230038314.0,624769477063000.0,"GEDUNG GRAHA BIP LANTAI 8 JALAN GATOT SUBROTO NOMOR KAVLING 23, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",081388238852,metrixabadi@gmail.com,5.0,,Perseroan Terbatas (PT),
531,PT MINERAL BANGKA SEJATI,202220034923.0,710892753315000.0,"JL. SULTAN ISKANDAR MUDA (ARTERI PONDOK INDAH) NO. 18G, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",08115111888,pt.mbs2022@gmail.com,25.0,,Perseroan Terbatas (PT),
982,PT MINERAL JAYA PERSADA,9120003631147.0,911873396652000.0,"JL. SUNANDAR PRIYO SUDARMO NO.32, KALIDERES, KOTA MALANG, JAWA TIMUR",0341425164,mineralpersada19@gmail.com,5.0,,,
282,PT MINERAL PUTRA BELITUNG MANDIRI,9120107220361.0,845219062305000.0,"JALAN JENDERAL SUDIRMAN RT.035 RW.012, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087774932782,pbm.mineral@gmail.com,118.0,,Perseroan Terbatas (PT),
523,PT MITRA BUMI UTAMA,220107630593.0,32369696315000.0,"JALAN AHMAD YANI KOMPLEK DPRD NOMOR : 33, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",628119004014,mitrabumiutama@gmail.com,2.0,,Perseroan Terbatas (PT),
719,PT MITRA CININDO PERKASA,2907230116822.0,713655884305000.0,"JL. JEND SUDIRMAN DUSUN AIR RAYA TIMUR II, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087774932782,mitracinindo.group@gmail.com,43.0,,Perseroan Terbatas (PT),
500,PT MITRA GAPURA MANDIRI,8120013242911.0,20625224021000.0,"JL. RAYA KAWASAN INDUSTRI KETAPANG, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081310509459,mitragapuramandiri1@gmail.com,551.0,,Perseroan Terbatas (PT),
236,PT MITRA GAPURA MANDIRI SEJAHTERA,9120014091645.0,803423664304000.0,"JL. KETAPANG KAWASAN INDUSTRI, PANGKALPINANG, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07174261948,mgmsejahtera1@gmail.com,118.0,,Perseroan Terbatas (PT),
990,PT MITRA GRAHA RAYA,511210022299.0,855826848013000.0,"KAWASAN INDUSTRI JELITIK, BUKITINTAN, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0212526999,mitragrahar@gmail.com,6.0,,,
996,PT MITRA PERSADA RESOURCES,264010281855.0,27477546048000.0,"KUALA MAPUR, RIAU SILIP, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081386672790,mpr.persada115@gmail.com,17.0,,Perseroan Terbatas (PT),
489,PT MITRA STANIA BEMBAN,220206810165.0,955575329315000.0,"KOMPLEK INDUSTRI & PELABUHAN AIR KANTUNG, SUNGAILIAT, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",6271796016,info@msbtin.co.id,52.0,,Perseroan Terbatas (PT),
216,PT MITRA STANIA KEMINGKING,9120312050178.0,930046651315000.0,"KOMPLEK INDUSTRI & PELABUHAN AIR KANTUNG, SUNGAILIAT, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0716792350,mitrastaniakemingking@gmail.com,53.0,,Perseroan Terbatas (PT),
48,PT MITRA STANIA PRIMA,8120015170452.0,12772208315000.0,"KOMPLEK INDUSTRI & PELABUHAN AIR KANTUNG SUNGAILIAT BANGKA, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081369849781,info@msptin.co.id,54.0,,Perseroan Terbatas (PT),
69,PT MITRA SUKSES GLOBALINDO,8120313001589.0,28460004315000.0,"KOMPLEK VILLA BANGKA ASRI BLOK A21, KAMPUNG DUL, PANGKALAN BARU, KAB. BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG",07179113280,pt.mitrasuksesglobalindo@gmail.com,96.0,,Perseroan Terbatas (PT),
110,CV MITRA SUKSES GLOBALINDO,612210034297.0,534239405112000.0,JALAN PLATINA VII A LK XXXV  / MEDAN MARELAN KOTA MEDAN SUMATERA UTARA,082180001279,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
395,PT MUALIM PUTRA PRATAMA,9120202870181.0,920346608305000.0,"JALAN MUALIM, TAMAN SARI, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",0317328085,mualimputrapratama59@gmail.com,5.0,,Perseroan Terbatas (PT),
1198,PT MULIA ANUGERAH SEJAHTERA,1003230016924.0,18325928018000.0,"WISMA TAMARA, RUANG 901, JALAN JENDERAL SUDIRMAN, KAVLING 24, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0212525667,muliaanugerahsejahtera2023@gmail.com,67.0,,,
1206,PT MULTITAMA BAKTI GEMILANG,9120107551605.0,913294807623000.0,"JL. JAKSA AGUNG SUPRAPTO NO. 75 A, SETIABUDI, KOTA MALANG, JAWA TIMUR",0341425164,mb.gemilang@gmail.com,21.0,,,
393,PT MUTIARA LAUTAN BANGKA,2511210042678.0,532507084304000.0,"JL ALEXANDER RUKO G2 CITRALAND BOTANICAL CITY, TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0717435758,mutiaralautanbangka@gmail.com,22.0,,Perseroan Terbatas (PT),
165,PT NAGA LASKAR PELANGI,2803230033934.0,403980519305000.0,KAWASAN INDUSTRI PT. MITRA PROPINDO LESTARI 10/04 BADAU KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,08197528888,,,,Perseroan Terbatas (PT),Aktif
587,PT NIAGA ABADI PERSADA,2002230072439.0,629131418044000.0,"KOBEXINDO TOWER, JALAN PASIR PUTIH RAYA BLOK E-5-D, TANJUNG PANDAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",08118577222,niagaabadipersada.oss@gmail.com,13.0,,,
267,PT NIPPINDO KAOLIN ABADI,9120212230199.0,12769287026000.0,"GEDUNG ASEAN TOWER LANTAI 5, JALAN KIAI HAJI SAMANHUDI NO. 10, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213802865,nka.pusat2@gmail.com,1.0,,Perseroan Terbatas (PT),
1212,PT NIPSEA MARTAPURA,241010232515.0,10026953037000.0,"GEDUNG ASEAN TOWER LANTAI 5, JALAN KIAI HAJI SAMANHUDI NOMOR 10, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213802865,nipseamartapura10@gmail.com,5.0,,,
1009,PT NOBLE CAPITAL,2804230074909.0,21839832015000.0,"JL. PROF.DR. SOEPOMO, SH NO.178 A, RUKAN ROYAL PALACE B 30, TEBET, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0212525999,noblecapital21@gmail.com,7.0,,,
528,CV PANDU BELITUNG MAKMUR,2712220015831.0,858637028305000.0,"JL. HASAN SAIE, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081993273063,pandubelitung09@gmail.com,70.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
308,PT PARIT MUJUR SEJAHTERA,9120102301286.0,14957039305000.0,"JL. DR. SUSILO NO. 88 RT 009 RW 004, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",089674056514,ptparitmujursejahtera20@gmail.com,9.0,,Perseroan Terbatas (PT),
677,PT PASIFIK AMANIA MANDIRI,2410230094529.0,507757516032000.0,"HAYAM WURUK PLAZA TOWER LT. 8, JL HAYAM WURUK NO. 108, TAMAN SARI, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081388881406,pasifikamaniamandiri@gmail.com,5.0,,Perseroan Terbatas (PT),
178,PT PASIR BELITUNG UTAMA,2403220069174.0,638240283029000.0,"KOMPLEK DUTA MERLIN BLOK E NOMOR 14-15, JALAN GAJAH MADA NOMOR 3-5 01/01 GAMBIR KOTA ADM. JAKARTA PUSAT DKI JAKARTA",081216881688,,,,Perseroan Terbatas (PT),Aktif
599,PT PATRIOT PRIMABUMI PERKASA,2810220066803.0,614766715305000.0,"JL. DEPATI GEGEDEK, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",081313386781,putrabelitung644@gmail.com,66.0,,Perseroan Terbatas (PT),
1012,PT PELAYARAN TANJUNGBAHARI PERKASA,9120004252959.0,16738957048000.0,"KOMPLEK RUKAN PURI MUTIARA BLOK C NO. 18-19JL. GRIYA UTAMA, TANJUNG PRIOK, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02165314189,pelayaran.tbp@gmail.com,16.0,,,
681,PT PEMATANG SUMBER JAYA,2410230092674.0,507608198032000.0,"HAYAM WURUK PLAZA TOWER LT. 8, JL. HAYAM WURUK NO. 108, TAMAN SARI, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081388881406,pematangsumberjaya@gmail.com,6.0,,Perseroan Terbatas (PT),
563,PT PERKASA PARAMA BILITON,1002230045723.0,606700433013000.0,"JALAN BARU NOMOR 3, KEBAYORAN LAMA, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",02127095210,perkasa.paramabiliton@gmail.com,37.0,,Perseroan Terbatas (PT),
213,PT PERKASA PARAMA BORNEO,1101230034866.0,606623841013000.0,JALAN BARU NOMOR 3  010/003 KEBAYORAN LAMA KOTA ADM. JAKARTA SELATAN DKI JAKARTA,02127095210,,,,Perseroan Terbatas (PT),Aktif
215,CV PERMATA BATU ITAM,8120010231158.0,866658164305000.0,JL. SIJUK ASAM LOBANG AIR MERBAU 019/007 TANJUNG PANDAN KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,081297801388,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
1017,PT PERUSAHAAN PERSEROAN (PERSERO) PT MINERAL INDUSTRI INDONESIA,2303230027471.0,403276330012000.0,"ENERGY BUILDING LANTAI 19 DAN 27, SCBD, JALAN JENDERAL SUDIRMAN KAV. 52-53, KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",02127938750,corsec@mind.id,46.0,,,
112,PT PERUSAHAAN PERSEROAN (PERSERO) PT TIMAH Tbk.,8120109881956.0,10016657051000.0,"JL. JEND.SUDIRMAN NO. 51, TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07174258000,timah.oss@pttimah.co.id,17.0,,,
1020,PT PRAMANUSA RAYA UTAMA,1110230093671.0,506734094032000.0,"HAYAM WURUK PLAZA TOWER LT. 8, JL. HAYAM WURUK NO. 108, TAMAN SARI, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081388881406,pramanusarayautama@gmail.com,2.0,,,
160,PT PREMIUM TIN INDONESIA,8120218111542.0,807165063315000.0,"JALAN POLWAN NOMOR 20, GAMBIR, KAB. BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG",082123691457,premiumtinindonesia16@gmail.com,5.0,,Perseroan Terbatas (PT),
1024,PT PRESTASI PELUMASINDO UNGGUL,220109260335.0,17920505028000.0,"JL. TANAH ABANG IV NOMOR 48, GAMBIR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0213447515,kasri.hrd@prestasi.co.id,24.0,,,
142,PT PRIMA BUNDIARTA NUSA,9120105152521.0,14957831305000.0,"KOMPLEK DUTA MERLIN BLOK E NOMOR 14-15, JALAN GAJAH MADA NOMOR 3-5, KELURAHAN PETOJO UTARA, KECAMATAN GAMBIR, KOTA ADMINISTRASI JAKARTA PUSAT, PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA., GAMBIR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0216337739,primabundiartanusa.pt@gmail.com,23.0,,Perseroan Terbatas (PT),
1027,PT PRIMA JAYA MINERAL,9120204512883.0,915751218657000.0,"JL. DIPONEGORO NOMOR 6-B, GAMBIR, KAB. MALANG, JAWA TIMUR",0341425164,primajaya.mineral@gmail.com,18.0,,,
86,PT PRIMA TIMAH UTAMA,8120006862374.0,12772380308000.0,"JL. KETAPANG KAWASAN INDUSTRI. PANGKALPINANG 33149. PROVINSI KEPULAUAN BANGKA BELITUNG. INDONESIA., BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",07174261948,primatimah@yahoo.com,488.0,,,
312,PT PRIMA ZIRCON MINERAL,9120205571542.0,906008552304000.0,"THE GREENLAND BLOK D12, TANJUNG PANDAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",085216860468,ptpzm.pjk@gmail.com,66.0,,Perseroan Terbatas (PT),
1322,PT PRIMARINDO RAYA SEJAHTERA,9120004591313.0,911323574623000.0,"JL. JAKSA AGUNG SUPRAPTO GG. II NO.2A, KLOJEN, KOTA MALANG, JAWA TIMUR",0341425614,primarindosejahtera@gmail.com,94.0,,,
1031,PT PROFITAMA HARJAYA INDAH,9120401732221.0,28803088045000.0,"RUKO KRAMAT JAYA, JALAN KRAMAT JAYA, KOJA, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02129364412,phji.legal@gmail.com,8.0,,,
573,PT PROSPER KARYA MANDIRI,8120002991878.0,730776663215000.0,"JL. PROF. DR. LATUMETEN NO. 33 SEASON CITY UNIT RUKO SH/A/19-20, TAMBORA, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",02129618073,ptprosperkaryamandiri@yahoo.com,123.0,,Perseroan Terbatas (PT),
378,PT PSR MUTIARA ABADI,1611210041767.0,532555042304000.0,"JL ALEXANDER RUKO G1 CITRALAND BOTANICAL CITY, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0717435758,psmutiaraabadi@gmail.com,21.0,,Perseroan Terbatas (PT),
90,PT PUTERA SARANA SHAKTI,8120318071866.0,802327973304000.0,"KAWASAN INDUSTRI JELITIK, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0212525999,legalpss2020@gmail.com,6.0,,Perseroan Terbatas (PT),
424,PT PUTERA SUKSES MINERAL,1247006422422.0,422118315047000.0,"JALAN BOULEVARD PANTAI INDAH KAPUK KAV OFS NOMOR 1 THE SUITES TOWER LANTAI 12 UNIT 1205, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02122510550,aminmakmurbersama@gmail.com,10.0,,Perseroan Terbatas (PT),
341,CV PUTRA MAJU KAMEX,1201000110548.0,711984633305000.0,"DUSUN GARUMEDANG, DAMAR, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",081368438225,cvputramajukamex24@gmail.com,3.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
400,PT PUTRAPRIMA MINERAL MANDIRI,9120303101015.0,808051577618000.0,"JL. PLTU LAMA/BMP DUSUN MUDEL RT.006 SUNGAI MENGKAONG, MERAWANG, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081335722844,pmm0218@gmail.com,2.0,,,
105,PT RAJAWALI RIMBA PERKASA,8120000850225.0,24916850304000.0,"JL. ALEXANDER RUKO CITRALAND BLOK D08, BADAU, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",081316000681,rajawalirimbaperkasa@yahoo.com,5.0,,Perseroan Terbatas (PT),
128,PT RAJEHAN ARIQ,9120301151347.0,210546859315000.0,"JL. AIR MAWAR DALAM, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0717911624,info.rajehanariq@gmail.com,4.0,,,
137,PT REFINED BANGKA TIN,8120200890424.0,26343038315000.0,"KAWASAN INDUSTRI JELITIK, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",081806022727,olla@rbt.co.id,55.0,,,
1034,PT RESOURCES CAPITAL,1611210051327.0,26718023011000.0,"GD. WISMA TAMARA ANNEXE, JL. JEND. SUDIRMAN KAV. 24, SETIABUDI, KOTAMADYA JAKARTA SELATAN, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",0212525668,capitalresources92@gmail.com,19.0,,,
170,PT REZEKI SAMUDERA JAYA,2103230104369.0,403126311304000.0,"JL. WIDURI BULAN 3 001/001 BUKITINTAN KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG",081511663333,,,,Perseroan Terbatas (PT),Aktif
206,PT ROYAL SILICA NUSANTARA,2107230106006.0,397092750305000.0,JALAN HASAN SAIE 012/005  KAB. BELITUNG KEPULAUAN BANGKA BELITUNG,082298821323,,,,Perseroan Terbatas (PT),Aktif
374,PT SAMIARTHA SUKSES ABADI,9120004882114.0,32719494031000.0,"JALAN RAYA PADANG BARU, MANGGAR, KAB. BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG",-,yanadjulias@gmail.com,4.0,,Perseroan Terbatas (PT),
504,PT SAMPOERNA TIMAH NUSANTARA,8120110250265.0,741318265418000.0,"DUSUN GUNUNG TIONG, DESA/KELURAHAN PEGANTUNGAN, KEC. BADAU, KAB. BELITUNG, PROVINSI KEPULAUAN BANGKA BELITUNG, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082111776387,sampoernatimahnusantarapt@gmail.com,26.0,,Perseroan Terbatas (PT),
329,PT SANDEIR SETIA BROTHERS,8120018042161.0,20926382305000.0,"JL. JEND. SUDIRMAN AIR RAYA BARAT II, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",087706669440,pt.sandeirs@gmail.com,48.0,,Perseroan Terbatas (PT),
1037,PT SARANA MARINDO,9120208261616.0,10019297308000.0,"JL. BUKIT BARU NO.140 RT003/03 KEL. TAMAN BUNGA, GERUNGGANG, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0811144557,legalsaranamarindo@gmail.com,10.0,,Perseroan Terbatas (PT),
222,PT SARANA MARINDO,9120208261616.0,10019297308000.0,JL. BUKIT BARU NO.140 RT003/03 KEL. TAMAN BUNGA /  KOTA PANGKAL PINANG KEPULAUAN BANGKA BELITUNG,,,,,Perseroan Terbatas (PT),Aktif
388,PT SARANA SUKA PRIMA,9120100191282.0,27623966304000.0,"JALAN JENDRAL A.YANI GG. SEROJA III, TAMAN SARI, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",085376457285,sarana.sprima@yahoo.com,3.0,,,
569,PT SATRIA MUKTI ANUGERAH,306220050882.0,656419553043000.0,"RUKO PLAZA PASIFIK BLOK A3 NO. 68, JL. BOULEVARD BARAT RAYA, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02122656565,satriamuktianugerah@gmail.com,7.0,,Perseroan Terbatas (PT),
442,PT SATUNUSA CAKRA MINERAL,1606220080362.0,658411517029000.0,"KOMPLEK DUTA MERLIN BLOK E NOMOR 14-15 JL. GAJAH MADA NOMOR 3-5, GABEK, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",081222566655,satunusacakramineral@gmail.com,27.0,,Perseroan Terbatas (PT),
637,PT SATUNUSA PILAR MINING,1606220078081.0,658411897029000.0,"KOMPLEK DUTA MERLIN BLOK E NOMOR 14-15 JL. GAJAH MADA NOMOR 3-5, GAMBIR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",081222566655,satunusapilarmining@gmail.com,28.0,,Perseroan Terbatas (PT),
27,PT SEIRAMA TIN INVESTMENT,8120002881562.0,30050843305000.0,"JL. MANGGAR TENGAH, KELEKAK DATUK, BADAU, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",082280300089,seiramatininvestment.oss@gmail.com,47.0,,,
194,PT SEJAHTERA LOGINDO ALAM,276000921307.0,814130365315000.0,JL. DEPATI AMIR DALAM KM.9 DUSUN VI 09/00 MERAWANG KAB. BANGKA KEPULAUAN BANGKA BELITUNG,085882369690,,,,Perseroan Terbatas (PT),Aktif
363,CV SEJAHTERA MINERAL BABEL,9120208730213.0,853156917315000.0,"JL. CENDRAWASIH NO.142, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",0813 6246 4282,artatimatondang@gmail.com,8.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
184,PT SEJAHTERA UTAMA MITRA JAYA,8120101930136.0,25719998451000.0,JL MANGGA DUA RAYA RUKO BAHAN BANGUNAN BLOK F 5 NO.17 00/00 SAWAH BESAR KOTA ADM. JAKARTA PUSAT DKI JAKARTA,0216125323,,,,Perseroan Terbatas (PT),Aktif
580,PT SEJAHTERA UTAMA MITRA MANDIRI,8120308800819.0,31652555026000.0,"KOMPLEK SIDOARTO RUKO 38 NOMOR 4-6, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",021-6631201,summ.pasir.jkt@gmail.com,26.0,,,
546,PT SEJAHTERA UTAMA PRIMA,8120001811043.0,31652563026000.0,"KOMPLEK SIDOARTO RUKO 38 NOMOR 4-6, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",021-6631201,sup.pasir.jkt@gmail.com,34.0,,,
